region_cd,region_nm,research_date,buy_dom_indices,level_no
A2001,지방권,20230529,85.5115953851533,0
44000,충남,20230529,94.4363103953148,0
43000,충북,20230529,89.1304347826087,0
A5000,5대광역시,20230522,80.7921866521975,0
A3000,6대광역시,20230522,81.4305585277124,0
A6000,8개도,20230522,87.8883956880152,0
A9000,9개도,20230522,85.6584272120748,0
11A02,강남지역,20230522,78.7534846674632,1
11A01,강북지역,20230522,82.7089337175793,1
42000,강원,20230522,84.4900105152471,0
41000,경기,20230522,83.2672257479601,0
48000,경남,20230522,89.3026259147654,0
41A02,경부1권,20230522,85.3044086773968,1
41A03,경부2권,20230522,89.0746934225195,1
47000,경북,20230522,90.3672680412371,0
41A05,경원권,20230522,80.1749271137026,1
41A04,경의권,20230522,70.3206562266965,1
29000,광주,20230522,88.3682008368201,0
27000,대구,20230522,78.2051282051282,0
30000,대전,20230522,76.3783269961977,0
11A11,도심권,20230522,83.3876221498371,2
11A15,동남권,20230522,81.0265811182401,2
41A06,동부1권,20230522,79.6731358529111,1
41A07,동부2권,20230522,73.5169491525424,1
26A01,동부산권,20230522,81.2899106002554,1
11A12,동북권,20230522,85.1359898798229,2
26000,부산,20230522,82.3818897637795,0
11A14,서남권,20230522,77.0070422535211,2
26A03,서부산권,20230522,76.4786795048143,1
11A13,서북권,20230522,75.2310536044362,2
11000,서울,20230522,80.6983805668016,0
41A01,서해안권,20230522,88.3425180161085,1
36000,세종,20230522,97.8658536585366,0
A2000,수도권,20230522,82.5295463210065,0
31000,울산,20230522,76.1795166858458,0
28000,인천,20230522,83.8145896656535,0
A1000,전국,20230522,83.8343465045593,0
46000,전남,20230522,85.665914221219,0
45000,전북,20230522,79.1331546023235,0
50000,제주,20230522,76.8115942028985,0
26A02,중부산권,20230522,87.378640776699,1
A2001,지방권,20230522,85.0308821815639,0
44000,충남,20230522,93.9970717423133,0
43000,충북,20230522,89.6030245746692,0
A5000,5대광역시,20230515,80.0122083559414,0
A3000,6대광역시,20230515,80.6387759469292,0
A6000,8개도,20230515,87.2701331642359,0
A9000,9개도,20230515,85.4260089686099,0
11A02,강남지역,20230515,75.5675029868578,1
11A01,강북지역,20230515,81.329765335529,1
42000,강원,20230515,84.9106203995794,0
41000,경기,20230515,83.4485494106981,0
48000,경남,20230515,88.5062419285407,0
41A02,경부1권,20230515,86.7739678096571,1
41A03,경부2권,20230515,89.7993311036789,1
47000,경북,20230515,90.3672680412371,0
41A05,경원권,20230515,81.8513119533528,1
41A04,경의권,20230515,70.0596569724087,1
29000,광주,20230515,86.4853556485356,0
27000,대구,20230515,76.7482517482517,0
30000,대전,20230515,75.9505703422053,0
11A11,도심권,20230515,83.0618892508143,2
11A15,동남권,20230515,76.2144821264895,2
41A06,동부1권,20230515,78.7538304392237,1
41A07,동부2권,20230515,69.0677966101695,1
26A01,동부산권,20230515,80.2681992337165,1
11A12,동북권,20230515,83.9342188488299,2
26000,부산,20230515,82.1456692913386,0
11A14,서남권,20230515,75.0704225352113,2
26A03,서부산권,20230515,78.2668500687758,1
11A13,서북권,20230515,72.735674676525,2
11000,서울,20230515,78.4008097165992,0
41A01,서해안권,20230515,88.0669775328529,1
36000,세종,20230515,98.1707317073171,0
A2000,수도권,20230515,81.8051849027831,0
31000,울산,20230515,76.2370540851553,0
28000,인천,20230515,82.9787234042553,0
A1000,전국,20230515,83.1382978723404,0
46000,전남,20230515,84.8194130925508,0
45000,전북,20230515,78.3288650580876,0
50000,제주,20230515,76.0869565217391,0
26A02,중부산권,20230515,86.3106796116505,1
A2001,지방권,20230515,84.360797109894,0
44000,충남,20230515,92.5329428989751,0
43000,충북,20230515,89.0359168241966,0
A5000,5대광역시,20230508,79.2525773195876,0
A3000,6대광역시,20230508,79.6811470147657,0
A6000,8개도,20230508,86.9213696892835,0
A9000,9개도,20230508,84.6850049217981,0
11A02,강남지역,20230508,74.3727598566308,1
11A01,강북지역,20230508,80.3622890078222,1
42000,강원,20230508,85.068349106204,0
41000,경기,20230508,82.2869446962829,0
48000,경남,20230508,88.7860525182953,0
41A02,경부1권,20230508,83.8348495451365,1
41A03,경부2권,20230508,88.9632107023411,1
47000,경북,20230508,88.3698453608247,0
41A05,경원권,20230508,82.3615160349854,1
41A04,경의권,20230508,69.2766592095451,1
29000,광주,20230508,84.6861924686192,0
27000,대구,20230508,75.2331002331002,0
30000,대전,20230508,76.0456273764259,0
11A11,도심권,20230508,82.5732899022801,2
11A15,동남권,20230508,75.8478460128323,2
41A06,동부1권,20230508,77.2727272727273,1
41A07,동부2권,20230508,68.4322033898305,1
26A01,동부산권,20230508,80.4597701149425,1
11A12,동북권,20230508,82.6059456040481,2
26000,부산,20230508,81.7125984251969,0
11A14,서남권,20230508,73.2394366197183,2
26A03,서부산권,20230508,77.6478679504814,1
11A13,서북권,20230508,72.550831792976,2
11000,서울,20230508,77.3178137651822,0
41A01,서해안권,20230508,87.1131835523527,1
36000,세종,20230508,99.0853658536585,0
A2000,수도권,20230508,80.6010928961749,0
31000,울산,20230508,76.409666283084,0
28000,인천,20230508,81.2816616008105,0
A1000,전국,20230508,82.3009118541033,0
46000,전남,20230508,84.7629796839729,0
45000,전북,20230508,77.8820375335121,0
50000,제주,20230508,75.8454106280193,0
26A02,중부산권,20230508,85.5339805825243,1
A2001,지방권,20230508,83.859690012819,0
44000,충남,20230508,92.9355783308931,0
43000,충북,20230508,88.1379962192817,0
A5000,5대광역시,20230501,77.8621812262615,0
A3000,6대광역시,20230501,78.3811256152365,0
A6000,8개도,20230501,86.2132741492285,0
A9000,9개도,20230501,83.4490867330198,0
11A02,강남지역,20230501,73.0386300278773,1
11A01,강북지역,20230501,79.4153972828324,1
42000,강원,20230501,86.2776025236593,0
41000,경기,20230501,80.4850407978241,0
48000,경남,20230501,88.334050796384,0
41A02,경부1권,20230501,82.7151854443667,1
41A03,경부2권,20230501,85.2285395763657,1
47000,경북,20230501,86.2435567010309,0
41A05,경원권,20230501,80.7580174927114,1
41A04,경의권,20230501,68.7919463087248,1
29000,광주,20230501,83.9330543933054,0
27000,대구,20230501,71.1538461538461,0
30000,대전,20230501,76.0931558935361,0
11A11,도심권,20230501,82.5732899022801,2
11A15,동남권,20230501,74.5187901008249,2
41A06,동부1권,20230501,74.3615934627171,1
41A07,동부2권,20230501,69.2796610169492,1
26A01,동부산권,20230501,79.5657726692209,1
11A12,동북권,20230501,81.4674256799494,2
26000,부산,20230501,80.7874015748032,0
11A14,서남권,20230501,71.9014084507042,2
26A03,서부산권,20230501,75.2407152682256,1
11A13,서북권,20230501,71.626617375231,2
11000,서울,20230501,76.1740890688259,0
41A01,서해안권,20230501,85.7566765578635,1
36000,세종,20230501,98.9329268292683,0
A2000,수도권,20230501,79.1110687507943,0
31000,울산,20230501,76.3521288837745,0
28000,인천,20230501,80.3191489361702,0
A1000,전국,20230501,81.0714285714286,0
46000,전남,20230501,84.4808126410835,0
45000,전북,20230501,76.988382484361,0
50000,제주,20230501,75.1207729468599,0
26A02,중부산권,20230501,85.631067961165,1
A2001,지방권,20230501,82.8691294720895,0
44000,충남,20230501,93.0819912152269,0
43000,충북,20230501,85.9640831758034,0
A5000,5대광역시,20230424,77.3941942485079,0
A3000,6대광역시,20230424,77.7819387973465,0
A6000,8개도,20230424,85.6954132318749,0
A9000,9개도,20230424,82.8037843158701,0
11A02,강남지역,20230424,72.6403823178017,1
11A01,강북지역,20230424,77.274598600247,1
42000,강원,20230424,85.068349106204,0
41000,경기,20230424,79.7030825022666,0
48000,경남,20230424,88.3555746879036,0
41A02,경부1권,20230424,82.4352694191743,1
41A03,경부2권,20230424,83.1103678929766,1
47000,경북,20230424,86.2113402061856,0
41A05,경원권,20230424,81.7055393586006,1
41A04,경의권,20230424,68.0462341536167,1
29000,광주,20230424,83.2217573221757,0
27000,대구,20230424,71.0081585081585,0
30000,대전,20230424,74.4771863117871,0
11A11,도심권,20230424,81.1074918566775,2
11A15,동남권,20230424,74.839596700275,2
41A06,동부1권,20230424,73.0847803881512,1
41A07,동부2권,20230424,69.9152542372881,1
26A01,동부산권,20230424,77.7777777777778,1
11A12,동북권,20230424,79.4750158127767,2
26000,부산,20230424,80.4133858267717,0
11A14,서남권,20230424,70.9507042253521,2
26A03,서부산권,20230424,75.2407152682256,1
11A13,서북권,20230424,68.6691312384473,2
11000,서울,20230424,74.919028340081,0
41A01,서해안권,20230424,85.2267910131412,1
36000,세종,20230424,97.5609756097561,0
A2000,수도권,20230424,78.1420765027322,0
31000,울산,20230424,76.6973532796318,0
28000,인천,20230424,79.2299898682877,0
A1000,전국,20230424,80.3404255319149,0
46000,전남,20230424,84.7629796839729,0
45000,전북,20230424,77.5245755138517,0
50000,제주,20230424,72.9468599033817,0
26A02,중부산권,20230424,86.0679611650485,1
A2001,지방권,20230424,82.3563687215942,0
44000,충남,20230424,91.6910688140556,0
43000,충북,20230424,83.8374291115312,0
A5000,5대광역시,20230417,76.2004883342376,0
A3000,6대광역시,20230417,76.5942649261716,0
A6000,8개도,20230417,85.6267173958994,0
A9000,9개도,20230417,81.9971562944329,0
11A02,강남지역,20230417,72.0828355236957,1
11A01,강북지역,20230417,75.1749691230959,1
42000,강원,20230417,85.4889589905363,0
41000,경기,20230417,78.105167724388,0
48000,경남,20230417,88.2264313387861,0
41A02,경부1권,20230417,79.111266620014,1
41A03,경부2권,20230417,82.0512820512821,1
47000,경북,20230417,86.2435567010309,0
41A05,경원권,20230417,80.9766763848397,1
41A04,경의권,20230417,67.7479492915734,1
29000,광주,20230417,83.9748953974895,0
27000,대구,20230417,68.8228438228438,0
30000,대전,20230417,70.8650190114068,0
11A11,도심권,20230417,77.8501628664495,2
11A15,동남권,20230417,74.6104491292392,2
41A06,동부1권,20230417,71.2461695607763,1
41A07,동부2권,20230417,71.1864406779661,1
26A01,동부산권,20230417,78.0332056194125,1
11A12,동북권,20230417,77.7356103731815,2
26000,부산,20230417,79.4291338582677,0
11A14,서남권,20230417,70.1408450704225,2
26A03,서부산권,20230417,73.9339752407153,1
11A13,서북권,20230417,66.173752310536,2
11000,서울,20230417,73.6032388663968,0
41A01,서해안권,20230417,83.0860534124629,1
36000,세종,20230417,91.0060975609756,0
A2000,수도권,20230417,76.6869996187571,0
31000,울산,20230417,77.1001150747986,0
