region_cd,region_nm,research_date,apt_type,buy_dom_indices,level_no
11000,서울,202304,1,75.1400298730396,0
11A01,강북지역,202304,1,77.38321306494493,1
11A02,강남지역,202304,1,72.9709878810136,1
11A11,도심권,202304,1,81.08108108108108,2
11A12,동북권,202304,1,79.42206654991243,2
11A13,서북권,202304,1,69.33560477001704,2
11A14,서남권,202304,1,71.4749837556855,2
11A15,동남권,202304,1,74.91554054054053,2
26000,부산,202304,1,80.45058139534883,0
26A01,동부산권,202304,1,77.85630153121319,1
26A02,중부산권,202304,1,85.91928251121077,1
26A03,서부산권,202304,1,75.50761421319795,1
27000,대구,202304,1,71.4247311827957,0
28000,인천,202304,1,78.73831775700936,0
29000,광주,202304,1,83.011583011583,0
30000,대전,202304,1,74.89044697633655,0
31000,울산,202304,1,76.00849256900213,0
36000,세종,202304,1,99.15492957746478,0
41000,경기,202304,1,79.8298716209164,0
41A01,서해안권,202304,1,85.15838873680094,1
41A02,경부1권,202304,1,83.43023255813954,1
41A03,경부2권,202304,1,82.51928020565553,1
41A04,경의권,202304,1,68.38487972508591,1
41A05,경원권,202304,1,82.47978436657682,1
41A06,동부1권,202304,1,73.65692742695569,1
41A07,동부2권,202304,1,68.13186813186813,1
42000,강원,202304,1,87.19785138764547,0
43000,충북,202304,1,84.82441471571906,0
44000,충남,202304,1,91.02136181575433,0
45000,전북,202304,1,77.44783306581058,0
46000,전남,202304,1,84.75314617618588,0
47000,경북,202304,1,86.13890523837551,0
48000,경남,202304,1,88.49453978159126,0
50000,제주,202304,1,74.8888888888889,0
A1000,전국,202304,1,80.53194444444445,0
A2000,수도권,202304,1,78.22217017040464,0
A2001,지방권,202304,1,82.61639274956403,0
A3000,6대광역시,202304,1,77.71964461994078,0
A5000,5대광역시,202304,1,77.44680851063829,0
A6000,8개도,202304,1,85.96615617318965,0
A9000,9개도,202304,1,83.04975445210574,0
11000,서울,202304,3,82.61802575107298,0
11A01,강북지역,202304,3,84.30232558139535,1
11A02,강남지역,202304,3,80.09383378016086,1
11A11,도심권,202304,3,83.33333333333334,2
11A12,동북권,202304,3,84.4793713163065,2
11A13,서북권,202304,3,84.65608465608467,2
11A14,서남권,202304,3,77.7777777777778,2
11A15,동남권,202304,3,83.7979094076655,2
26000,부산,202304,3,85.26315789473685,0
26A01,동부산권,202304,3,78.37837837837839,1
26A02,중부산권,202304,3,91.78743961352657,1
26A03,서부산권,202304,3,82.5,1
27000,대구,202304,3,81.05590062111801,0
28000,인천,202304,3,84.47204968944098,0
29000,광주,202304,3,86.36363636363636,0
30000,대전,202304,3,82.96703296703296,0
31000,울산,202304,3,80.11363636363635,0
36000,세종,202304,3,95.625,0
41000,경기,202304,3,81.83500793231094,0
41A01,서해안권,202304,3,82.30769230769232,1
41A02,경부1권,202304,3,79.88721804511279,1
41A03,경부2권,202304,3,89.44636678200692,1
41A04,경의권,202304,3,70.74688796680499,1
41A05,경원권,202304,3,87.98076923076923,1
41A06,동부1권,202304,3,83.21428571428572,1
41A07,동부2권,202304,3,75.98684210526316,1
42000,강원,202304,3,93.47826086956522,0
43000,충북,202304,3,93.27731092436976,0
