region_cd,region_nm,research_date,deal_obj,all_cnt,age01_cnt,age02_cnt,age04_cnt,age05_cnt,age06_cnt,age07_cnt
43110,청주시,202301,06,613,37,126,136,103,46,23
41460,용인시,202301,06,392,23,89,100,62,18,7
45110,전주시,202301,06,447,25,87,110,71,44,6
41270,안산시,202301,06,285,19,56,70,48,12,20
41280,고양시,202301,06,316,18,71,81,47,22,2
47110,포항시,202301,06,394,19,76,100,60,28,5
44200,아산시,202301,06,258,11,58,63,31,13,7
44250,계룡시,202301,06,31,1,7,3,6,4,2
28000,인천,202301,06,1794,100,390,378,276,103,149
28260,서구,202301,06,409,18,89,78,63,20,45
27260,수성구,202301,06,140,10,33,22,21,10,1
28200,남동구,202301,06,298,13,78,62,43,17,8
29000,광주,202301,06,972,62,195,190,128,77,81
43720,보은군,202301,06,19,0,3,2,6,3,3
44131,동남구,202301,06,210,14,34,51,49,11,9
43770,음성군,202301,06,66,2,11,17,14,5,4
43800,단양군,202301,06,15,0,0,6,7,1,1
43150,제천시,202301,06,108,3,13,31,22,9,3
47280,문경시,202301,06,40,1,4,16,11,1,1
47750,청송군,202301,06,6,0,2,0,0,1,0
47760,영양군,202301,06,9,0,1,3,2,1,0
47850,칠곡군,202301,06,71,5,15,19,14,3,0
47770,영덕군,202301,06,16,0,2,2,6,2,0
47250,상주시,202301,06,60,2,6,23,13,7,3
46890,완도군,202301,06,19,1,3,6,2,1,3
46840,무안군,202301,06,50,6,5,12,11,2,0
47113,북구,202301,06,231,11,50,56,33,16,2
46910,신안군,202301,06,9,0,1,2,2,2,0
47150,김천시,202301,06,106,4,20,30,21,4,2
46880,장성군,202301,06,9,1,1,3,2,0,1
47170,안동시,202301,06,90,4,21,18,16,10,1
41430,의왕시,202301,06,51,5,15,14,7,2,0
41450,하남시,202301,06,127,3,20,23,19,15,16
41461,처인구,202301,06,149,11,16,34,42,7,4
41290,과천시,202301,06,40,4,5,9,2,3,4
41273,단원구,202301,06,147,11,35,30,28,7,4
41410,군포시,202301,06,69,3,14,17,11,7,0
41590,화성시,202301,06,566,30,190,85,68,50,6
41800,연천군,202301,06,15,0,3,3,4,2,2
41610,광주시,202301,06,168,6,44,34,32,10,5
51130,원주시,202301,06,296,18,62,89,42,19,7
41630,양주시,202301,06,141,2,32,23,22,7,31
41133,중원구,202301,06,40,3,7,12,4,4,0
41113,권선구,202301,06,145,9,36,31,23,14,1
41150,의정부시,202301,06,173,9,36,41,31,10,10
