region_cd,region_nm,research_date,apt_type,rate,level_no
29200,광산구,202302,1,5.396647777527059,1
31140,남구,202302,1,4.8,1
41113,권선구,202302,1,5.249088699878493,2
41250,동두천시,202302,1,6.029220938636783,1
41370,오산시,202302,1,5.63855421686747,1
41480,파주시,202302,1,5.666185854725473,1
41570,김포시,202302,1,5.617021276595745,1
44131,동남구,202302,1,6.461538461538462,2
45000,전북,202302,1,6,0
45111,완산구,202302,1,5.538461538461538,2
45140,익산시,202302,1,6.42857142857143,1
47000,경북,202302,1,5.715614815834445,0
48000,경남,202302,1,5.052569506919625,0
50110,제주시,202302,1,5.238356524589811,1
A2001,지방,202302,35,7.147002330370034,0
11000,서울,202302,35,4.396070307853231,0
44000,충남,202302,35,10.324089209260062,0
46000,전남,202302,35,7.613953046424894,0
A2001,지방,202302,0,6.614562523491689,0
A8000,8개시도,202302,0,7.110776993398836,0
11A02,강남지역,202302,0,4.7802003335659,1
27000,대구,202302,0,6.181600148187471,0
29000,광주,202302,0,6.0651083542780375,0
43000,충북,202302,0,7.382930926042014,0
44000,충남,202302,0,7.75737747461158,0
A2001,지방,202305,7,7.967945048654837,0
A8000,8개시도,202305,7,8.49056603773585,0
45130,군산시,202305,1,6.823780325246602,1
A5000,5대광역시,202305,1,5.294117647058823,0
A8000,8개시도,202305,1,6,0
11A11,도심권,202305,1,5.1,1
11230,동대문구,202305,1,5.063430848982894,1
11260,중랑구,202305,1,4.5,1
11290,성북구,202305,1,4.8,1
11500,강서구,202305,1,4.824953293802292,1
11620,관악구,202305,1,4.977777777777778,1
26350,해운대구,202305,1,5.093684059637048,1
26500,수영구,202305,1,5.408450704225352,1
28140,동구,202305,1,5.647058823529412,1
29000,광주,202305,1,5.307842827242092,0
31200,북구,202305,1,5.333039257641113,1
41133,중원구,202305,1,4.820805502043461,2
41150,의정부시,202305,1,5.865724279984354,1
41360,남양주시,202305,1,5.64705882352941,1
41570,김포시,202305,1,5.686845180042295,1
44200,아산시,202305,1,6.944105636595535,1
11A02,강남지역,202305,35,4.398358040118125,1
28000,인천,202305,35,7.006276016551311,0
31000,울산,202305,35,7.39187345599351,0
41000,경기,202305,35,6.807274689654885,0
50000,제주,202305,35,6.474960799495815,0
A2001,지방,202305,0,6.644143183532757,0
28000,인천,202305,0,6.6521098929522635,0
36000,세종,202305,0,6.298823159497103,0
42000,강원,202305,0,6.949040811915552,0
48000,경남,202305,0,6.649361916472133,0
A1000,전국,202304,35,5.647691761008478,0
11A01,강북지역,202304,35,4.9592685788992235,1
11A11,도심권,202304,35,5.308711409021318,1
29000,광주,202304,35,6.038516419432673,0
30000,대전,202304,35,7.739600522910957,0
A1000,전국,202304,1,5.4,0
11140,중구,202304,1,5.076954047754604,1
11350,노원구,202304,1,4.8,1
11410,서대문구,202304,1,5.126213592233012,1
26200,영도구,202304,1,5.538461538461538,1
26260,동래구,202304,1,4.923488352235001,1
26380,사하구,202304,1,5.466395112016293,1
29170,북구,202304,1,5.333333333333334,1
30110,동구,202304,1,5.094197025191461,1
31710,울주군,202304,1,5.400650860196545,1
41131,수정구,202304,1,5.1,2
41280,고양시,202304,1,5.333333333333334,1
41465,수지구,202304,1,5,2
44133,서북구,202304,1,6.319899595593362,2
46000,전남,202304,1,6,0
48121,의창구,202304,1,5,2
48125,마산합포구,202304,1,5.583998669864497,2
45111,완산구,202304,1,5.625,2
48240,사천시,202304,1,5.88551332950514,1
48250,김해시,202304,1,5.3340771701657514,1
11A14,서남권,202304,0,5.198798890920345,1
43000,충북,202304,0,7.277769583175309,0
50000,제주,202304,0,6.017245850497528,0
A1000,전국,202304,7,6.979228486646885,0
A2001,지방,202304,7,8.014224422723,0
30000,대전,202304,7,6.920656227310976,0
46000,전남,202303,1,6,0
47000,경북,202303,1,5.793103448275862,0
48240,사천시,202303,1,5.739293197203625,1
A2001,지방,202303,1,5.480263157894736,0
A5000,5대광역시,202303,1,5.1478760393033225,0
A8000,8개시도,202303,1,5.915709727370115,0
11A11,도심권,202303,1,4.9523809523809526,1
11140,중구,202303,1,5.070422535211268,1
11650,서초구,202303,1,4.320108527800867,1
11710,송파구,202303,1,4.666666666666667,1
27230,북구,202303,1,5.059649122807017,1
27710,달성군,202303,1,5.454545454545455,1
28260,서구,202303,1,6,1
29155,남구,202303,1,4.941176470588235,1
29200,광산구,202303,1,5.4,1
