region_cd,region_nm,research_date,apt_type,size_gbn,tr_gbn,indices,level_no
30000,대전,202306,1,12,S,86.70110965020486,0
31000,울산,202306,1,12,S,89.2858437519495,0
36000,세종,202306,1,12,S,73.65928690622012,0
41000,경기,202306,1,12,S,89.19435970066525,0
41A01,서해안권,202306,1,12,S,89.2390142031766,1
41A02,경부1권,202306,1,12,S,90.20747261648143,1
41A03,경부2권,202306,1,12,S,91.0939367865271,1
41A04,경의권,202306,1,12,S,87.93630425470967,1
41A05,경원권,202306,1,12,S,85.18246150311882,1
41A06,동부1권,202306,1,12,S,87.29859515043032,1
41A07,동부2권,202306,1,12,S,102.85197786634913,1
42000,강원,202306,1,12,S,100.73939312710405,0
43000,충북,202306,1,12,S,96.72480068389554,0
44000,충남,202306,1,12,S,95.54433717689244,0
45000,전북,202306,1,12,S,99.10030968951598,0
46000,전남,202306,1,12,S,92.27602686886539,0
47000,경북,202306,1,12,S,96.29750038850435,0
48000,경남,202306,1,12,S,95.27586962927137,0
50000,제주,202306,1,12,S,102.75564841070518,0
A1000,전국,202306,1,12,S,91.08934672012174,0
A2000,수도권,202306,1,12,S,89.98524336136697,0
A2001,지방권,202306,1,12,S,92.07943375998751,0
A3000,6대광역시,202306,1,12,S,87.82852802800893,0
A5000,5대광역시,202306,1,12,S,87.8770071091381,0
A6000,8개도,202306,1,12,S,96.42642091042455,0
A9000,9개도,202306,1,12,S,92.82485983502639,0
11000,서울,202306,1,13,D,82.53173448326143,0
11A01,강북지역,202306,1,13,D,83.66130932162181,1
11A02,강남지역,202306,1,13,D,81.97395685173493,1
11A11,도심권,202306,1,13,D,84.08764741362542,2
11A12,동북권,202306,1,13,D,82.6934099655971,2
11A13,서북권,202306,1,13,D,86.24020273989612,2
11A14,서남권,202306,1,13,D,78.97420245204432,2
11A15,동남권,202306,1,13,D,84.39812445743618,2
26000,부산,202306,1,13,D,86.23199298183825,0
26A01,동부산권,202306,1,13,D,82.57199680584372,1
26A02,중부산권,202306,1,13,D,84.97805104517523,1
26A03,서부산권,202306,1,13,D,91.72242301557982,1
27000,대구,202306,1,13,D,70.94284924325295,0
28000,인천,202306,1,13,D,77.3743161850665,0
29000,광주,202306,1,13,D,94.72011269908859,0
30000,대전,202306,1,13,D,84.7348469970517,0
31000,울산,202306,1,13,D,83.6115465499494,0
36000,세종,202306,1,13,D,71.81928009941369,0
41000,경기,202306,1,13,D,80.18755542411277,0
41A01,서해안권,202306,1,13,D,77.79824830661919,1
41A02,경부1권,202306,1,13,D,82.69094609733567,1
41A03,경부2권,202306,1,13,D,80.26116309690832,1
41A04,경의권,202306,1,13,D,80.46023376514465,1
41A05,경원권,202306,1,13,D,75.00659146466144,1
41A06,동부1권,202306,1,13,D,82.82429122678724,1
41A07,동부2권,202306,1,13,D,99.958998940583,1
42000,강원,202306,1,13,D,99.13391909191932,0
43000,충북,202306,1,13,D,104.16637987213609,0
44000,충남,202306,1,13,D,92.61966026053105,0
45000,전북,202306,1,13,D,95.88784743481504,0
46000,전남,202306,1,13,D,97.62629782733599,0
47000,경북,202306,1,13,D,96.24005421292765,0
48000,경남,202306,1,13,D,97.81539450297956,0
50000,제주,202306,1,13,D,100.262273297635,0
A1000,전국,202306,1,13,D,83.18427110672557,0
A2000,수도권,202306,1,13,D,80.30276536072898,0
A2001,지방권,202306,1,13,D,88.1360360390802,0
A3000,6대광역시,202306,1,13,D,81.6383668822628,0
A5000,5대광역시,202306,1,13,D,83.78126828242921,0
A6000,8개도,202306,1,13,D,97.1631645726128,0
A9000,9개도,202306,1,13,D,84.82883357157979,0
11000,서울,202306,1,13,R,99.5097631439012,0
11A01,강북지역,202306,1,13,R,101.20820192304797,1
11A02,강남지역,202306,1,13,R,98.66938210797414,1
11A11,도심권,202306,1,13,R,100.45562340475101,2
11A12,동북권,202306,1,13,R,100.93326077116495,2
11A13,서북권,202306,1,13,R,102.58012138700848,2
11A14,서남권,202306,1,13,R,99.87561739371502,2
11A15,동남권,202306,1,13,R,97.76796523093779,2
26000,부산,202306,1,13,R,104.03816582593014,0
26A01,동부산권,202306,1,13,R,104.63774543422943,1
26A02,중부산권,202306,1,13,R,101.894358534878,1
26A03,서부산권,202306,1,13,R,105.59329258780707,1
27000,대구,202306,1,13,R,91.18500668332861,0
28000,인천,202306,1,13,R,104.2562584273849,0
29000,광주,202306,1,13,R,100.97357555534464,0
30000,대전,202306,1,13,R,101.70166693729098,0
31000,울산,202306,1,13,R,107.95634557601386,0
36000,세종,202306,1,13,R,92.0503812782047,0
41000,경기,202306,1,13,R,100.24768676253369,0
41A01,서해안권,202306,1,13,R,101.37950199408618,1
41A02,경부1권,202306,1,13,R,98.62108636216836,1
41A03,경부2권,202306,1,13,R,100.80790705326945,1
41A04,경의권,202306,1,13,R,100.66765001385185,1
41A05,경원권,202306,1,13,R,96.19590238986855,1
41A06,동부1권,202306,1,13,R,100.32528551153713,1
41A07,동부2권,202306,1,13,R,98.85065440468424,1
42000,강원,202306,1,13,R,102.33974150315721,0
