region_cd,region_nm,research_date,apt_type,contract_type,indices,level_no
A1000,전국,202212,0,0,117.26177306516719,0
11000,서울,202207,1,0,173.1969394681987,0
11A11,도심권,202210,1,0,158.31293137633145,1
11A14,서남권,202210,1,0,157.1056471259611,1
11A14,서남권,202212,1,0,142.5281290889442,1
26000,부산,202208,1,0,117.30464040962387,0
26000,부산,202209,1,0,114.72946305395088,0
A2000,수도권,202207,1,0,157.64698536159358,0
31000,울산,202211,1,0,97.18941552776182,0
31000,울산,202212,1,0,95.3799891636897,0
29000,광주,202209,1,0,137.3543277768468,0
36000,세종,202207,1,0,135.73620367103004,0
42000,강원,202209,1,0,116.57767977904871,0
45000,전북,202208,1,0,119.25065968688722,0
43000,충북,202212,1,0,105.10069299811948,0
48000,경남,202209,1,0,102.95318010580145,0
A5000,5대광역시,202208,1,0,122.04118172928355,0
A5000,5대광역시,202212,1,0,109.89161392349025,0
A6000,8개도,202211,1,0,105.83461085982925,0
A3000,6대광역시,202211,1,1,112.32684138270692,0
30000,대전,202212,1,1,125.21680913275483,0
A5000,5대광역시,202210,1,1,115.47100671935607,0
A2000,수도권,202210,1,1,124.70224926722746,0
A2000,수도권,202211,1,1,120.61616870485538,0
50000,제주,202211,1,0,110.15704160671176,0
46000,전남,202210,1,0,111.67476316102398,0
11000,서울,202209,1,1,128.00380289468086,0
41000,경기,202212,1,1,115.59444843610333,0
11A11,도심권,202208,1,1,130.00076622742566,1
11A15,동남권,202209,1,1,128.660407182658,1
44000,충남,202210,1,1,124.19923296870566,0
11A13,서북권,202209,1,1,127.50372024473229,1
45000,전북,202211,1,1,109.80770281549042,0
45000,전북,202212,1,1,106.11090601845252,0
11A14,서남권,202208,1,1,127.74377048550507,1
11A14,서남권,202211,1,1,123.63743162674379,1
27000,대구,202207,1,1,113.26789430732332,0
A2001,지방,202211,1,1,117.00629235104361,0
11000,서울,202207,3,0,145.8035222862466,0
11000,서울,202208,3,0,143.96485034775677,0
11000,서울,202209,3,0,140.9110028968558,0
A3000,6대광역시,202207,3,0,123.39706271665212,0
28000,인천,202208,0,0,130.96459133189344,0
A2000,수도권,202208,0,0,146.15180197822954,0
A2000,수도권,202211,3,0,124.30889862258408,0
A6000,8개도,202211,3,0,96.62614049129544,0
11000,서울,202211,0,0,143.42260123967034,0
41000,경기,202207,0,0,146.2962888099556,0
41000,경기,202210,0,0,133.8575069417543,0
A2001,지방,202209,1,0,114.64191896148685,0
11000,서울,202211,1,0,146.84153048225593,0
11A11,도심권,202211,1,0,161.7943246508115,1
11A13,서북권,202211,1,0,143.56454021545846,1
11A15,동남권,202209,1,0,162.30326413236628,1
29000,광주,202212,1,0,125.64833800260335,0
36000,세종,202208,1,0,129.33003263376602,0
36000,세종,202211,1,0,120.56344815727675,0
44000,충남,202207,1,0,112.46570731476284,0
44000,충남,202211,1,0,106.46261387374282,0
45000,전북,202212,1,0,110.71233706933539,0
43000,충북,202208,1,0,112.81847846988961,0
27000,대구,202207,1,0,118.05334983849622,0
47000,경북,202207,1,0,106.25370434497118,0
48000,경남,202207,1,0,104.3897524337471,0
48000,경남,202208,1,0,103.59699179392177,0
A5000,5대광역시,202207,1,0,124.28758382799825,0
A5000,5대광역시,202210,1,0,117.17882667938191,0
A3000,6대광역시,202207,1,0,127.23702167512126,0
A3000,6대광역시,202211,1,0,113.98631801449027,0
28000,인천,202211,1,1,113.4653763033322,0
50000,제주,202210,1,1,125.88988884802055,0
50000,제주,202211,1,1,118.1006276087441,0
A3000,6대광역시,202210,1,1,116.30727377605112,0
A5000,5대광역시,202208,1,1,119.4696495741921,0
A2000,수도권,202207,1,1,127.12495819095267,0
31000,울산,202207,1,1,124.01683468514447,0
50000,제주,202210,1,0,111.14307734450493,0
50000,제주,202212,1,0,107.16998896033401,0
36000,세종,202207,1,1,149.21463926458333,0
36000,세종,202210,1,1,145.12067745571574,0
36000,세종,202211,1,1,140.45922481814668,0
11000,서울,202208,1,1,127.77387587193627,0
11A11,도심권,202207,1,1,129.00106503953376,1
11A12,동북권,202209,1,1,128.4491486451952,1
11A15,동남권,202210,1,1,126.98943985401095,1
11A13,서북권,202208,1,1,128.24759436564693,1
45000,전북,202209,1,1,113.41899843397354,0
46000,전남,202207,1,1,120.04647698982248,0
26000,부산,202208,1,1,114.9044350048078,0
47000,경북,202208,1,1,130.30231976165229,0
27000,대구,202209,1,1,110.26274465033653,0
27000,대구,202211,1,1,103.42664840110902,0
48000,경남,202208,1,1,132.80114520156638,0
48000,경남,202212,1,1,125.1085029504079,0
A2001,지방,202207,1,1,124.10803126301155,0
A2001,지방,202210,1,1,120.34157507306352,0
A6000,8개도,202209,1,1,125.09032714480601,0
11000,서울,202210,3,0,138.49863323352045,0
28000,인천,202209,0,0,127.48956643469754,0
A5000,5대광역시,202208,3,0,119.6743982549239,0
A2000,수도권,202207,3,0,131.0655918515226,0
28000,인천,202207,3,0,124.39490295762172,0
28000,인천,202208,3,0,123.57863985923503,0
28000,인천,202209,3,0,120.7920858654416,0
28000,인천,202212,3,0,114.57576579409847,0
A6000,8개도,202207,3,0,97.71777996149726,0
A2001,지방,202210,0,0,111.64755886367416,0
41000,경기,202208,3,0,124.06420904016467,0
11000,서울,202208,0,0,159.5493517583372,0
A1000,전국,202210,1,0,125.63267712501924,0
11000,서울,202208,1,0,167.93914544136928,0
11A11,도심권,202207,1,0,170.48620458425697,1
11A13,서북권,202207,1,0,164.97439769074526,1
11A13,서북권,202209,1,0,156.94148703145586,1
11A15,동남권,202208,1,0,163.98506449034141,1
28000,인천,202208,1,0,135.73877312758918,0
28000,인천,202212,1,0,116.17710318943928,0
11A14,서남권,202207,1,0,174.2808055212774,1
A2000,수도권,202211,1,0,134.30355157327278,0
A2000,수도권,202212,1,0,130.0207760396756,0
30000,대전,202210,1,0,140.4593070545907,0
31000,울산,202208,1,0,104.4937554038227,0
31000,울산,202210,1,0,101.00518065829061,0
41000,경기,202207,1,0,153.66655539653652,0
44000,충남,202210,1,0,108.859627348928,0
43000,충북,202209,1,0,112.08847428390601,0
43000,충북,202211,1,0,107.75935784302966,0
28000,인천,202208,1,1,123.38893970757886,0
28000,인천,202209,1,1,123.10182583598863,0
28000,인천,202210,1,1,118.25334109596744,0
A3000,6대광역시,202208,1,1,120.67759247461873,0
A1000,전국,202207,1,1,125.85104699564468,0
A1000,전국,202211,1,1,119.18803968007511,0
