region_cd,region_nm,research_date,deal_obj,all_area,age01_area,age02_area,age04_area,age05_area,age06_area,age07_area
41135,분당구,202306,07,35171.2385,597.9309,9968.743,6641.6399,2682.6633,1046.5482,84.82
41115,팔달구,202306,07,7307.0648,597.622,1920.5365,2064.288,581.6624,539.74,322.11
43760,괴산군,202306,07,398.2744,0,0,84.9367,116.18,112.2,0
43770,음성군,202306,07,5087.1555,239.4495,598.3079,1273.8897,713.9615,552.574,433.77
43150,제천시,202306,07,7190.4681,491.007,1143.8848,1869.056,1152.7589,376.3557,0
43800,단양군,202306,07,1283.225,0,84.995,479.795,189.695,50.4,35.67
43730,옥천군,202306,07,1214.5399,84.7493,308.0714,196.2338,169.4531,110.1,0
45770,순창군,202306,07,668.5119,59.86,0,229.6346,59.86,84.41,77.723
45800,부안군,202306,07,978.8824,84.1998,219.38,95.574,266.424,135.6196,0
45730,무주군,202306,07,431.1282,58.75,84.233,143.23,0,144.9152,0
45190,남원시,202306,07,1676.3552,84.95,568.7673,609.4346,148.63,59.96,0
45740,장수군,202306,07,0,0,0,0,0,0,0
41570,김포시,202304,06,50508.8497,2129.0642,10530.8147,7931.6393,4507.7451,2318.4921,12814.4457
31110,중구,202304,06,16315.8634,620.1266,4143.4618,3713.7552,2432.6518,818.9164,485.9731
44230,논산시,202304,06,6605.7634,274.0682,1137.3311,1741.374,1285.2382,588.764,327.75
51810,인제군,202304,06,2526.4931,97.2,318.86,598.49,649.4519,225.3012,0
51170,동해시,202304,06,8604.8749,192.24,1025.7144,2008.4344,2036.2755,644.0952,109.6764
51110,춘천시,202304,06,27454.0603,951.1923,5209.1187,5963.9989,6439.5285,1948.8661,461
51800,양구군,202304,06,2152.239,0,77.12,457.434,358.415,310.49,393.38
28185,연수구,202304,06,38134.7933,1937.4242,11728.7818,7580.9847,4182.8999,2470.1353,152.4625
28140,동구,202304,06,5381.1051,84.86,1033.418,777.244,1573.1441,542.62,79.32
47850,칠곡군,202304,06,13079.5795,212.7606,1978.0846,2901.5067,849.2,1083.0023,844.03
47830,고령군,202304,06,761.4165,0,66.6,160.64,184.79,236.5865,41.82
48270,밀양시,202304,06,9183.9468,144.9514,1134.499,2280.6249,1891.0345,997.5738,792.6681
48310,거제시,202304,06,13597.8386,520.3999,2745.1563,4546.1276,1598.0385,720.7597,243.9054
45190,남원시,202304,06,4727.4305,99.38,725.9041,1628.3442,789.1491,323.4738,236.8641
45770,순창군,202304,06,1651.0374,0,72.61,513.5374,414.35,464.99,118.35
48880,거창군,202304,06,3016.282,84.5243,82.35,963.8232,731.9281,104.705,122.9577
47190,구미시,202304,06,53330.2078,1535.24,15971.0285,12727.4918,4324.1624,2654.2525,1781.9475
46870,영광군,202304,06,2659.3476,0,450.7683,1117.4255,391.3256,500.8532,0
46880,장성군,202304,06,1702.4145,0,220.22,704.7656,196.215,130.33,0
11170,용산구,202304,06,8505.951,266.37,1741.9658,1558.7736,862.6666,341.72,1142.72
11500,강서구,202304,06,20160.7325,1440.58,6099.238,3445.0965,2098.7883,1140.6705,852.83
11440,마포구,202304,06,14275.1704,346.68,3915.8842,2662.0127,1719.5878,380.6186,1693.732
26380,사하구,202304,06,16280.5837,1040.7132,3747.8366,3215.2115,3026.7932,1217.691,238.0527
41310,구리시,202304,06,6418.1385,242.34,1843.3133,1403.0376,1145.8829,416.1719,0
41290,과천시,202304,06,4134.8792,59.95,761.6911,1464.4558,489.587,119.53,0
41150,의정부시,202304,06,25982.832,875.937,5502.3407,6533.1458,4087.6178,1821.1679,649.87
43740,영동군,202304,06,2625.6195,51,124.8152,682.89,766.7569,379.7422,252.96
43111,상당구,202304,06,18178.9621,472.3502,3514.2473,3840.6656,3006.8101,1764.0344,467.7866
43720,보은군,202304,06,3313.165,65.79,360.037,912.689,1180.2638,214.546,0
41800,연천군,202304,06,2193.2389,0,331.544,624.275,316.39,444.9099,75.02
30110,동구,202304,06,16880.0925,784.7643,3029.7324,3933.8831,3618.3137,1613.7267,646.6185
31000,울산,202304,06,89274.9761,2716.7599,25288.5775,20909.7606,11312.3719,3301.3057,1647.5332
44210,서산시,202304,06,28302.1989,787.6128,2205.4619,6051.9348,2280.8845,1109.2992,13423.0366
46720,곡성군,202304,06,1637.2014,0,174.6785,429.2543,310.935,329.3036,71.1
46790,화순군,202304,06,3833.6085,0,258.64,1299.2314,969.6464,474.33,74.73
46770,고흥군,202304,06,5151.2224,84.87,1039.8337,1389.8959,1984.12,143.8654,26.1618
50110,제주시,202304,06,26657.8001,1157.87,4767.6451,7822.5175,2660.0633,960.6615,1271.6485
51000,강원,202304,06,148591.871,4130.4585,23706.4718,36740.8328,33754.0728,12138.7592,8084.1464
51750,영월군,202304,06,3225.2971,55.219,185.5208,817.37,1153.69,172.52,280.1334
